Ganaderia,Ganaderia 1,Faustino el ganadero,La ganaderia puede desempeñar un papel crucial en el desarrollo rural puede  proporcionar grandes oportunidades economicas.Financia mi negocio Cerdos Rurales y te invito a un jamon mozo.,Evento fijo,33.33,A financiar,10,5,-10,-10,-5,,No finacies,-5,-5,5,5,5,,La produccion de subproductos como el cuero tambien añade valor economico a la industria ganadera. La deforestacion para la ganaderia conlleva la perdida de biodiversidad.
Ganaderia,Ganaderia 2,Toni el activista,Invertir en la empresa de Faustino es respaldar la destrucción de habitats naturales es financiar la deforestacion para abrir paso a pastizales ganaderos condenando a especies vegetales y animales a la perdida irreversible de su hogar.,Evento fijo,33.33,No finacies,-5,-5,5,5,5,,No finacies,10,5,-10,-10,-5,,La produccion de subproductos como el cuero tambien añade valor economico a la industria ganadera. La deforestacion para la ganaderia conlleva la perdida de biodiversidad.
Ganaderia,Ganaderia 3,Rodrigo el Biologo,La ganaderia es reconocida como una de las principales fuentes de emisiones de gases de efecto invernadero. No financies mas este tipo de empresas,Evento fijo,33.33,No finacies,-5,-5,5,5,5,,A financiar,10,5,-10,-10,-5,,La produccion de subproductos como el cuero tambien añade valor economico a la industria ganadera. La deforestacion para la ganaderia conlleva la perdida de biodiversidad.
Energia Solar,Paneles solares 1,Laura la arquitecto,Deberiamos de poner paneles solares en las casas para usar algo de energia renovable,Evento fijo,,,-20,15,5,5,5,,,5,-10,-5,-5,-5,,Esta medida contribuiria significativamente a la reduccion de la dependencia de fuentes no renovables y disminuiria las emisiones de gases de efecto invernadero.
Energia Solar,Paneles solares 2,Baltasar el empresario,A la gente no le gusta esa idea de Laura de poner paneles solares dicen que quedan muy feos,Evento fijo,,No quedan tan feos vamos a ponerlos,-20,-15,5,5,5,,No lo haremos entonces,,30,-5,-5,-5,,Esta medida contribuiria significativamente a la reduccion de la dependencia de fuentes no renovables y disminuiria las emisiones de gases de efecto invernadero. 
"Turismo,De fiesta,Baltasar el empresario,Quiero organizar un festival de musica traera turismo y dara popularidad a tu pueblo,,,,10,5,-5,-5,-5,,,-10,-5,5,5,5,,""La organizacion de un festival de musica puede ser una iniciativa positiva con diversas ventajas como atraer turismo o inyectar ingresos economicos, ademas el festival puede aumentar la visibilidad y la popularidad del pueblo."""
Caza,Cazado,Faustino el cazador,¿Deberiamos permitir la caza de trofeos para atraer a turistas y generar ingresos para la conservación de la fauna?,,,,5,,,-10,,,,-5,,,10,,,La caza de trofeos genera ingresos trae turistas dispuestos a pagar y puede contribuir al manejo poblacional al seleccionar individuos mayores o especificos. 
Agricultura,Súper Cosechas,Rodrigo el Biologo,Propongo modificar geneticamente nuestros cultivos para aumentar la produccion y garantizar la seguridad alimentaria. ¿Que opinas?,,,,10,5,,,,,,-10,-5,,,,,Proponer la modificacion genetica de cultivos para aumentar la produccion y garantizar la seguridad alimentaria ofrece beneficios como mayor productividad resistencia a plagas y adaptacion a condiciones adversas. Sin embargo plantea inquietudes ambientales por posibles efectos en los ecosistemas y la biodiversidad.
Educacion,A educar,Paqui Jefa de Medio Ambiente,Integrar programas educativos sobre el medio ambiente en las escuelas locales para concienciar a la poblacion sobre la importancia de la conservacion.,,,,-10,,5,5,5,,,5,,-5,-5,-5,,Es una iniciativa valiosa para concientizar a la población sobre la importancia de la conservación pueden fomentar la comprensión de los estudiantes sobre los problemas ambientales actuales y promover practicas sostenibles.
Ganaderia,Malditos lobitos,Faustino el ganadero,Hay que matar a los lobos se comen el ganado,,,Acabad con ellos,-10,10,,-15,,,Pobres animales,,-20,,,,,
Prevencion de incendios,Epoca de incendios 1,Paqui Jefa de Medio Ambiente,Deberiamos de considerarnos hacer cortafuegos. Pueden ser muy utiles si hay un incendio,Evento fijo,,Ponte con ello,-15,5,,,,ficha cortafuegos,No le veo la utilidad,,-10,,,,no ficha cortafuegos,Los cortafuegos frenan el avance de los incendios y su expansion
Prevencion de incendios,Epoca de incendios 2,Paqui Jefa de Medio Ambiente,Deberiamos ampliar el operativo de prevencion de incendios podriamos construir una torre de vigilancia,Evento fijo,,,-20,20,,,,,,10,-10,-10,,,,Ampliar el operativo de prevencion de incendios mediante la construcción de una torre de vigilancia es una medida positiva para fortalecer la respuesta ante posibles riesgos. 
Prevencion de incendios,Epoca de incendios 3,Baltasar el empresario,Gastamos mucho dinero en el operativo de lucha contra incendios y apenas hacen nada deberíamos despedir a las cuadrillas de la zona,Evento fijo,,Despidelos,10,-15,-5,,,,,-15,5,5,,,,La experiencia local de las cuadrillas es valiosa y puede ser fundamental para una respuesta rapida y efectiva en situaciones de emergencia.
Prevencion de incendios,Incendio,Paqui Jefa de Medio Ambiente,¡Fuego! ¡Fuego! Hay un incendio descontrolado nos va a costar mucho apagarlo...,no ficha cortafuegos,,...,-20,-20,-20,-20,-20,,...,-20,-20,-20,-20,-20,,Los cortafuegos ayudan a controlar los incendios activos y que no se descontrolen.
Prevencion de incendios,Incendio con cortafuegos,Paqui Jefa de Medio Ambiente,Vale tenemos un problema hay un incendio en activo. Lo bueno es que los cortafuegos están ayudando a controlarlo.,ficha cortafuegos,,Esperemos que no sea nada...,-5,-5,-5,-5,-5,,Bueno dentro de lo malo...,-5,-5,-5,-5,-5,,Los cortafuegos ayudan a controlar los incendios activos y que no se descontrolen.
Prevencion de incendios,Ola de calor,Rodrigo el Biologo,¡Estan a punto de subir 20 grados las temperaturas!,< 25 flora,,...,,-5,-5,-5,-10,,...,,-5,-5,-5,-10,,Los arboles reducen la temperatura en las ciudades hasta 12 ºC
Prevencion de incendios,Accidente por desprendimiento,Laura la arquitecto,¡Es terrible! Ha habido un desprendimiento y ha aplastado un coche. Todos estan bien pero esto no le va a gustar nada a la gente...,ficha desprendimiento,,...,-10,-25,,,,,...,-10,-25,,,,,La seguridad y el bienestar de la comunidad deben ser la principal prioridad en este momento dificil.
Prevencion de incendios,Sequía,Eli agente forestal,La sequia del rio preocupa a la comunidad deberiamos destinar algunos recursos a combatirla.,< 25 aire,,,-25,5,10,5,10,,Seguro que no es para tanto,,-5,-20,-10,-20,,La sequia tiene un impacto brutal en la biodiversidad la calidad del aire y la agricultura
,Desprendimientos,Laura la arquitecto,Ha estado lloviendo mucho ultimamente y hay riesgo de desprendimientos cerca de la carretera.,,,Pondremos mallas de contencion,-5,5,5,5,,,No pasara nada,,-20,-10,-10,,ficha desprendimiento,Se recomienda alertar a las autoridades locales y a la comunidad sobre la situación implementar señalizaciones de advertencia y si es necesario cerrar temporalmente la carretera para prevenir accidentes. 
,Fiesta en el bosque,Baltasar el empresario,Los jovenes quieren celebrar las fiestas patronales en el bosque. Es un idea horrible pero tu veras,,,En el bosque,,25,-15,-10,-15,,En el pueblo,-10,-20,10,10,10,,El dialogo abierto con la comunidad puede ayudar a encontrar soluciones que equilibren las tradiciones con la preservacion del medio ambiente y la seguridad.
,Energias,Laura la arquitecto,Podemos construir una planta de energia solar o podemos construir una planta de energía tradicional que es mas barata y eficiente.,,,Solar,10,,-10,-5,5,,Tradicional,20,5,-10,-10,-15,,Aunque las plantas de energia tradicional pueden ser inicialmente mas baratas las plantas de energia solar ofrecen beneficios a largo plazo como la sostenibilidad y la reduccion de emisiones de gases de efecto invernadero.
,Campaña de reciclaje,Toni el activista,¿Que tal si hacemos una campaña para fomentar el reciclaje en el pueblo?,,,,-5,10,10,5,5,,,,-5,-10,-10,-10,,Implementar una campaña de reciclaje en el pueblo es una iniciativa positiva para reducir residuos y cuidar el medio ambiente
,Expansion del pueblo,Toni el activista,La expansion del pueblo no es nada buena para la temperatura del ecosistema. Te sugiero que nos la replanteemos.,,,Adelante,,-20,15,10,5,,,20,10,-10,-10,-5,,Es esencial considerar opciones mas sostenibles como el desarrollo urbano planificado la preservacion de areas verdes y la implementación de medidas de eficiencia energetica
,Turismo en masa,Baltasar el empresario,El turismo en masa puede traernos varios beneficios economicos piensalo.,,,Bien,20,15,-10,-10,-15,,No lo creo,,-10,,,,,El aumento repentino de visitantes puede ejercer presion sobre la infraestructura los recursos naturales y la calidad de vida de la comunidad local.
,Especies protegidas,Rodrigo el Biologo,Hay ciertas especies protegidas de aves en los alrededores podemos echarlas un ojo para que la poblacion se mantenga pero sera caro.,,,Te encargas,-10,,,15,,,,,,,-20,,,La supervision y proteccion de especies de aves protegidas en los alrededores es una iniciativa valiosa para conservar la biodiversidad local. Aunque puede implicar costos adicionales los beneficios a largo plazo.
,Carreteras,Laura la arquitecto,Nos han propuesto construir carreteras alrededor del pueblo es nuestra oportunidad de traer dinero y turismo.,,,,10,10,-20,-20,-5,,Ni de broma,-5,,,,,,La construccion de carreteras alrededor del pueblo puede ofrecer oportunidades económicas y turisticas pero es crucial evaluar cuidadosamente los impactos potenciales. 
,Carrera ciclista,Paqui Jefa de Medio Ambiente,Organicemos una carrera ciclista por los alrededores. ¡Seguro que a todo el mundo le encanta!,,,Trae mi bici,-5,20,-5,-5,10,,,,-5,,,,,Es una excelente idea para promover la actividad fisica el turismo y la participacion comunitaria. Este evento puede atraer a entusiastas del ciclismo y generar un ambiente festivo.
,Prohibir el turismo,Rodrigo el Biologo,Hay que prohibir el turismo en ciertas zonas mas frágiles... Como siga asi la cosa nos vamos a quedar sin ecosistema.,,,,-10,-5,5,5,5,,,5,5,-15,-5,-5,,Proponer la prohibicion del turismo en zonas fragiles es una medida prudente para preservar el ecosistema. La sobreexplotacion turistica puede tener impactos negativos y en la biodiversidad paisajes naturales.
,Cultivos organicos,Faustino el agricultor,Ultimamente se lleva mucho eso de lo cultivos organicos podriamos probar.,,,,-5,,10,,10,,,,5,,,-5,,Los cultivos organicos suelen utilizar metodos naturales de fertilizacion y control de plagas lo que puede beneficiar la salud del suelo y reducir la exposición a productos quimicos. 
,Central nuclear,Baltasar el empresario,Si andas mal de pasta siempre podemos poner una central nuclear. ¿Te interesa?,< 10 dinero,,,40,-5,-20,-5,-15,,,,5,,,,,Aunque las centrales nucleares pueden generar grandes cantidades de energia tambien plantean preocupaciones significativas en terminos de seguridad gestion de residuos nucleares y posibles impactos ambientales.
,Espacio verdes,Laura la arquitecto,Nunca sobran espacios verdes en un pueblo. ¿Ponemos unos pocos?,,,,-5,5,5,,5,,Estamos rodeados de verde,,-10,,,-5,,Los espacios verdes mejoran la calidad de vida de los residentes proporcionan areas de recreación y contribuyen al bienestar general de la comunidad.
,Pescadores descontrolados,Eli agente forestal,Se nos esta llendo de las manos lo de los pescadores. Hay que ponerles limites.,,,,-5,-5,10,,5,,,5,5,-15,,-10,,Establecer limites para la actividad de los pescadores es una medida importante para gestionar sosteniblemente los recursos pesqueros y proteger los ecosistemas acuaticos.
,Interes por la caza,Faustino el cazador,Hay mucha gente interesada en la caza por aqui. ¿Por que no nos dejas de vez en cuando?,,,Sed responsables,10,5,,-20,,,Ni hablar,,-10,,5,,,Es esencial establecer periodos de caza regulados cuotas y practicas sostenibles puede ayudar a mantener un equilibrio adecuado. 
,Subvencion,Paqui Jefa de Medio Ambiente,Nos han subencionado para reforestar la zona.,,,Mola,,,20,5,10,,Nos quedamos el dinero,20,-20,-10,,,,La sugerencia de retener parte del dinero para beneficio personal plantea preocupaciones eticas y reduce la percepcion positiva.
,Mucho trafico,Toni el activista,Hay mucho trafico ultimamente. Podemos dar algo de dinero para que pasen mas autobuses por el pueblo.,,,Podemos probar,-10,10,,,5,,,,-5,,,-5,,La idea de mejorar el transporte publico obtiene puntos positivos por su potencial para aliviar el trafico pero las posibles consecuencias economicas y la falta de garantias generan reservas en la comunidad.
,Explotar la pesca,Baltasar el empresario,Podemos explotar la pesca para exportar mas productos locales.,,,,10,5,,-10,-5,,,,-5,,,5,,Son preocupantes los posibles impactos ambientales sociales y eticos sobre la sostenibilidad de la explotacion pesquera. 
,viva el aire ,Laura la arquitecto,Si construimos una presa podremos construir un generador hidroelectrico,,,,-20,10,5,-10,-5,,,,-5,,5,5,,La propuesta plantea preocupaciones ambientales y sociales como impactos en la biodiversidad y la oposición de la comunidad. Aunque se reconoce la importancia de la energia sostenible la falta de apoyo y los posibles costos economicos y ambientales son consideraciones criticas.
,Granja de credos,Faustino el agricultor,¿Puedo construir una granja de cerdos?,,,,10,5,-5,,-15,,,,-5,,,5,,Las granjas de animales contaminan el agua
,Ataque de lobos,Eli agente forestal,Creo que los ganaderos se han inventado un ataque de lobos. ¿Les creemos?,,,Les creemos,-10,,,-10,,,Se lo han inventado,5,-5,,5,,,A veces los ganaderos se inventan ataques para recibir dinero
,Solo hay pinos,Eli agente forestal,La gente se niega a plantar arboles distintos de pinos. ¿Les obligamos?,,,,-5,-5,15,,10,,Lo que diga el pueblo,5,5,-15,,,,Hay muchos pinos de forma tradicional y ahora se llevan los bosques biodiversos.
,Greenwashing,Toni el activista,La gente de Popa-Pola quiere plantar arboles para reducir su impacto.,ficha empresa,,Perfecto,10,,-10,,-10,,No me fio. Echales un ojo,-5,-5,10,,10,,El greenwashing consiste en que una empresa contamina mucho y para compensar eso plantan árboles equivalentes a lo que han contaminado. Pero no lo hacen de forma óptima.
,Plantar en verano,Faustino el agricultor,Podemos plantar en verano para ahorrar algo de tiempo.,,,,-5,,-10,,,,No es buena idea,,,10,,,,Si plantamos en verano se nos muere todo.
